"Bill month","Prior read date","Prior read type ","Prior read ","Current read date","Current read type","Current read","CCFs used","Conversion factor","Therms used","Billing days","Average daily usage","Heating Degree Days","Average daily temperature","Payment Amount"
04/01/2019,,,,,,,,,73,32,,,52.53
03/01/2019,,,,,,,,,98.2,28,,,40.5,116.20
02/01/2019,,,,,,,,,120.3,30,,,36.33,144.08
01/01/2019,,,,,,,,,73.2,30,,,45.5,92.52
12/01/2018,,,,,,,,,98,32,,,42.16,114.48
11/01/2018,,,,,,,,,40.4,30,,,57.7,54.56
10/01/2018,,,,,,,,,25.7,28,,,74.39,40.70
09/01/2018,,,,,,,,,30.9,33,,,80.33,41.64
08/01/2018,,,,,,,,,23.7,30,,,80.73,37.03
07/01/2018,,,,,,,,,30.9,29,,,79.97,38.86
06/01/2018,,,,,,,,,33.9,33,,,73.21,48.71
05/01/2018,,,,,,,,,39.2,29,,,61.3,52.91
04/01/2018,,,,,,,,,95.8,32,,,45.84,103.77
03/01/2018,,,,,,,,,78.2,29,,,47.55,206.23
02/01/2018,,,,,,,,,106.4,29,,,39.79,110.99
01/01/2018,,,,,,,,,131,30,,,32.4,87.50
12/01/2017,,,,,,,,,81.3,33,,,46.36,44.87
11/01/2017,,,,,,,,,33.1,29,,,60.83,56.51
10/01/2017,,,,,,,,,25.9,28,,,74.25,52.44
09/01/2017,,,,,,,,,31.1,32,,,74.13,55.07
08/01/2017,,,,,,,,,32,29,,,80.03,59.86
07/01/2017,,,,,,,,,36,35,,,80.8,59.86
06/01/2017,,,,,,,,,32,31,,,67.87,54.67
05/01/2017,,,,,,,,,30.9,28,,,65.82,52.20
